Height/km,Air Density/ kg/km^3
604.5,1.065879E-04
605,1.058320E-04
605.5,1.050820E-04
606,1.043379E-04
606.5,1.035997E-04
607,1.028672E-04
607.5,1.021405E-04
608,1.014194E-04
608.5,1.007040E-04
609,9.999416E-05
609.5,9.928983E-05
610,9.859109E-05
610.5,9.789778E-05
611,9.720982E-05
611.5,9.652731E-05
612,9.585010E-05
612.5,9.517816E-05
613,9.451142E-05
613.5,9.384992E-05
614,9.319358E-05
614.5,9.254235E-05
615,9.189618E-05
615.5,9.125504E-05
616,9.061886E-05
616.5,8.998765E-05
617,8.936134E-05
617.5,8.873989E-05
618,8.812327E-05
618.5,8.751143E-05
619,8.690438E-05
619.5,8.630201E-05
620,8.570430E-05
620.5,8.511123E-05
621,8.452274E-05
621.5,8.393886E-05
622,8.335945E-05
622.5,8.278451E-05
623,8.221410E-05
623.5,8.164803E-05
624,8.108634E-05
624.5,8.052901E-05
625,7.997598E-05
625.5,7.942724E-05
626,7.888271E-05
626.5,7.834240E-05
627,7.780624E-05
627.5,7.727423E-05
628,7.674628E-05
628.5,7.622246E-05
629,7.570261E-05
629.5,7.518681E-05
630,7.467496E-05
630.5,7.416705E-05
